section,model,variable,coef,std_err,t_stat,p_value,sig,nobs,r2,adj_r2
MODEL 3 — Full: ret_3d ~ div + controls + FE,Full (ret_3d),is_smallcap,0.0027165569688251024,0.03113885433621526,0.08724010650789034,0.9304806604821944,,1492,0.036827099268123664,0.012317197392553325
MODEL 3 — Full: ret_3d ~ div + controls + FE,Full (ret_3d),score_exec,0.0013042335302094552,0.0025978673509926735,0.5020400790329396,0.6156393286501725,,1492,0.036827099268123664,0.012317197392553325
MODEL 3 — Full: ret_3d ~ div + controls + FE,Full (ret_3d),score_analyst,-0.0030088879160886242,0.0028890434407101333,-1.041482406837411,0.2976517142037398,,1492,0.036827099268123664,0.012317197392553325
MODEL 3 — Full: ret_3d ~ div + controls + FE,Full (ret_3d),n_chunks_exec,-0.0005703012472245725,0.002408562611335548,-0.23678074405893912,0.8128268908274248,,1492,0.036827099268123664,0.012317197392553325
MODEL 3 — Full: ret_5d ~ div + controls + FE,Full (ret_5d),const,-0.016513260085543643,0.0355594026038815,-0.464385194247924,0.6423717958201018,,1492,0.06177013830097389,0.037894963003268334
MODEL 3 — Full: ret_5d ~ div + controls + FE,Full (ret_5d),divergence,0.003513485045846172,0.002003221898057645,1.7539170519516094,0.07944472129501955,*,1492,0.06177013830097389,0.037894963003268334
MODEL 3 — Full: ret_5d ~ div + controls + FE,Full (ret_5d),div_x_small,0.025190359740038467,0.00786616983915467,3.2023666225271232,0.001363034034697923,***,1492,0.06177013830097389,0.037894963003268334
MODEL 3 — Full: ret_5d ~ div + controls + FE,Full (ret_5d),is_smallcap,0.013054484127615857,0.03190801117931704,0.40912873115946036,0.6824451925001178,,1492,0.06177013830097389,0.037894963003268334
MODEL 3 — Full: ret_5d ~ div + controls + FE,Full (ret_5d),score_exec,0.0019403869424153986,0.0029366321877492864,0.6607524600833866,0.5087710748627199,,1492,0.06177013830097389,0.037894963003268334
MODEL 3 — Full: ret_5d ~ div + controls + FE,Full (ret_5d),score_analyst,-0.0015730981034307802,0.0031717370658129124,-0.4959736796554405,0.6199129809824211,,1492,0.06177013830097389,0.037894963003268334
MODEL 3 — Full: ret_5d ~ div + controls + FE,Full (ret_5d),n_chunks_exec,0.0005050009695908163,0.0026150495487063706,0.19311334649113374,0.8468702004082831,,1492,0.06177013830097389,0.037894963003268334
SUBSAMPLE — Pre-2020: ret_1d ~ div + div×SmallCap + FE,Pre-2020 (ret_1d),const,-0.011290727042763307,0.03234705906399316,-0.34904956955828725,0.7270520958883211,,627,0.0323367386955431,0.003688813196398022
SUBSAMPLE — Pre-2020: ret_1d ~ div + div×SmallCap + FE,Pre-2020 (ret_1d),divergence,0.001585992453363644,0.0029750137040354587,0.53310425132238,0.5939614163357578,,627,0.0323367386955431,0.003688813196398022
SUBSAMPLE — Pre-2020: ret_1d ~ div + div×SmallCap + FE,Pre-2020 (ret_1d),div_x_small,5.922275342676591e-17,1.661566633307459e-16,0.3564271949111007,0.7215206662987422,,627,0.0323367386955431,0.003688813196398022
SUBSAMPLE — Pre-2020: ret_1d ~ div + div×SmallCap + FE,Pre-2020 (ret_1d),is_smallcap,-1.609623593022855e-18,2.7166683304198902e-17,-0.05924991192333259,0.9527530554731362,,627,0.0323367386955431,0.003688813196398022
SUBSAMPLE — Pre-2020: ret_3d ~ div + div×SmallCap + FE,Pre-2020 (ret_3d),const,-0.00580689446263148,0.03426562361467512,-0.1694670591124024,0.865429280598361,,627,0.034165829478786325,0.0055720546936188775
SUBSAMPLE — Pre-2020: ret_3d ~ div + div×SmallCap + FE,Pre-2020 (ret_3d),divergence,0.004745209209654903,0.003292177715431607,1.4413587660873899,0.14948335301916532,,627,0.034165829478786325,0.0055720546936188775
SUBSAMPLE — Pre-2020: ret_3d ~ div + div×SmallCap + FE,Pre-2020 (ret_3d),div_x_small,1.1457159614343661e-17,1.7593272636968505e-16,0.06512238996551947,0.9480765536545767,,627,0.034165829478786325,0.0055720546936188775
SUBSAMPLE — Pre-2020: ret_3d ~ div + div×SmallCap + FE,Pre-2020 (ret_3d),is_smallcap,-2.2517912417162573e-17,2.876040572835295e-17,-0.7829483571910697,0.4336574389541593,,627,0.034165829478786325,0.0055720546936188775
SUBSAMPLE — Pre-2020: ret_5d ~ div + div×SmallCap + FE,Pre-2020 (ret_5d),const,-0.016226339061106484,0.03490830638394443,-0.4648274505969603,0.6420550280836648,,627,0.047158242872773704,0.01894911190519144
SUBSAMPLE — Pre-2020: ret_5d ~ div + div×SmallCap + FE,Pre-2020 (ret_5d),divergence,0.002291830081657278,0.003800201913105369,0.6030811346506819,0.546454715893488,,627,0.047158242872773704,0.01894911190519144
SUBSAMPLE — Pre-2020: ret_5d ~ div + div×SmallCap + FE,Pre-2020 (ret_5d),div_x_small,4.890903417507754e-17,1.7941816947839802e-16,0.27259800006468243,0.7851622494560062,,627,0.047158242872773704,0.01894911190519144
SUBSAMPLE — Pre-2020: ret_5d ~ div + div×SmallCap + FE,Pre-2020 (ret_5d),is_smallcap,-2.1845246261586597e-17,2.953376048191857e-17,-0.7396703266067622,0.4595000574777949,,627,0.047158242872773704,0.01894911190519144
SUBSAMPLE — Post-2020: ret_1d ~ div + div×SmallCap + FE,Post-2020 (ret_1d),const,-0.001669072410038347,0.0037498596954440386,-0.4451026293240297,0.6562455887787408,,865,0.035876415682677076,0.016525647166272694
SUBSAMPLE — Post-2020: ret_1d ~ div + div×SmallCap + FE,Post-2020 (ret_1d),divergence,0.00845505696918016,0.004235146448210282,1.9964025028587047,0.0458901286076202,**,865,0.035876415682677076,0.016525647166272694
SUBSAMPLE — Post-2020: ret_1d ~ div + div×SmallCap + FE,Post-2020 (ret_1d),div_x_small,0.006666166085206702,0.006101306733627074,1.092580061327917,0.27457822095428575,,865,0.035876415682677076,0.016525647166272694
SUBSAMPLE — Post-2020: ret_1d ~ div + div×SmallCap + FE,Post-2020 (ret_1d),is_smallcap,0.01803712855934206,0.010357632190960664,1.741433585089405,0.08160760546511833,*,865,0.035876415682677076,0.016525647166272694
SUBSAMPLE — Post-2020: ret_3d ~ div + div×SmallCap + FE,Post-2020 (ret_3d),const,0.00686708464555825,0.005733872789429311,1.1976346350442362,0.23105928635193573,,865,0.037761494708789756,0.018448561308611944
SUBSAMPLE — Post-2020: ret_3d ~ div + div×SmallCap + FE,Post-2020 (ret_3d),divergence,0.008519843582877206,0.004472586200692349,1.9049031590622778,0.0567926605416556,*,865,0.037761494708789756,0.018448561308611944
SUBSAMPLE — Post-2020: ret_3d ~ div + div×SmallCap + FE,Post-2020 (ret_3d),div_x_small,0.014800739156386595,0.0076213612807808665,1.9420072886073898,0.052136217946388126,*,865,0.037761494708789756,0.018448561308611944
SUBSAMPLE — Post-2020: ret_3d ~ div + div×SmallCap + FE,Post-2020 (ret_3d),is_smallcap,0.003315845619548551,0.01620090009306461,0.2046704566104954,0.8378296039665021,,865,0.037761494708789756,0.018448561308611944
SUBSAMPLE — Post-2020: ret_5d ~ div + div×SmallCap + FE,Post-2020 (ret_5d),const,0.006706335731531766,0.006250242364649865,1.072972108963562,0.28328363033675963,,865,0.06895859742051458,0.050271816022815385
SUBSAMPLE — Post-2020: ret_5d ~ div + div×SmallCap + FE,Post-2020 (ret_5d),divergence,0.009218499250117177,0.004779670445845359,1.9286893007718113,0.05376944528118365,*,865,0.06895859742051458,0.050271816022815385
SUBSAMPLE — Post-2020: ret_5d ~ div + div×SmallCap + FE,Post-2020 (ret_5d),div_x_small,0.021280544087576528,0.008662947746414264,2.4565014947002184,0.014029721851474726,**,865,0.06895859742051458,0.050271816022815385
SUBSAMPLE — Post-2020: ret_5d ~ div + div×SmallCap + FE,Post-2020 (ret_5d),is_smallcap,0.0004419351850264209,0.01951634785383282,0.022644358890110128,0.9819339596103522,,865,0.06895859742051458,0.050271816022815385
